id	type_k	base_id	paraphrase_id	scenario	is_adversarial	adversarial_subtype
Q1086	12	Q1086	0	EV	0	
Q1091	12	Q1091	0	EV	0	
Q1096	12	Q1096	0	EV	0	
Q1101	12	Q1101	0	EV	0	
Q1106	12	Q1106	0	EV	0	
Q1111	12	Q1111	0	EV	0	
Q1116	12	Q1116	0	EV	0	
Q1121	12	Q1121	0	EV	0	
Q1126	12	Q1126	0	EV	0	
Q1131	12	Q1131	0	EV	0	
Q1136	12	Q1136	0	EV	0	
Q1141	12	Q1141	0	EV	0	
Q1146	12	Q1146	0	EV	0	
Q1396	12	Q1396	0	EV	0	
Q1576	12	Q1576	0	EV	0	
Q1581	12	Q1581	0	EV	0	
Q1586	12	Q1586	0	EV	0	
Q1591	12	Q1591	0	EV	0	
Q1596	12	Q1596	0	EV	0	
Q1601	12	Q1601	0	EV	0	
Q1606	12	Q1606	0	EV	0	
Q1611	12	Q1611	0	EV	0	
Q1616	12	Q1616	0	EV	0	
Q1271	15	Q1271	0	EV	0	
Q1276	15	Q1276	0	EV	0	
Q1281	15	Q1281	0	EV	0	
Q1286	15	Q1286	0	EV	0	
Q1291	15	Q1291	0	EV	0	
Q1296	15	Q1296	0	EV	0	
Q1301	15	Q1301	0	EV	0	
Q1306	15	Q1306	0	EV	0	
Q1311	15	Q1311	0	EV	0	
Q1316	15	Q1316	0	EV	0	
Q1321	15	Q1321	0	EV	0	
Q1326	15	Q1326	0	EV	0	
Q1331	15	Q1331	0	EV	0	
Q1336	15	Q1336	0	EV	0	
Q1341	15	Q1341	0	EV	0	
Q1346	15	Q1346	0	EV	0	
Q1351	15	Q1351	0	EV	0	
Q1356	15	Q1356	0	EV	0	
Q1361	15	Q1361	0	EV	0	
Q1366	15	Q1366	0	EV	0	
Q1621	15	Q1621	0	EV	0	
Q1626	15	Q1626	0	EV	0	
Q1631	15	Q1631	0	EV	0	
Q1636	15	Q1636	0	EV	0	
Q1641	15	Q1641	0	EV	0	
Q1646	15	Q1646	0	EV	0	
Q1651	15	Q1651	0	EV	0	
Q1656	15	Q1656	0	EV	0	
Q1661	15	Q1661	0	EV	0	
Q1666	15	Q1666	0	EV	0	
Q1191	26	Q1191	0	AC	0	
Q1196	26	Q1196	0	AC	0	
Q1201	26	Q1201	0	AC	0	
Q1206	26	Q1206	0	AC	0	
Q1211	26	Q1211	0	AC	0	
Q1216	26	Q1216	0	AC	0	
Q1221	26	Q1221	0	AC	0	
Q1226	26	Q1226	0	AC	0	
Q1671	26	Q1671	0	AC	0	
Q1676	26	Q1676	0	AC	0	
Q1151	26	Q1151	0	CT	0	
Q1156	26	Q1156	0	CT	0	
Q1161	26	Q1161	0	CT	0	
Q1166	26	Q1166	0	CT	0	
Q1171	26	Q1171	0	CT	0	
Q1176	26	Q1176	0	CT	0	
Q1181	26	Q1181	0	CT	0	
Q1186	26	Q1186	0	CT	0	
Q1681	26	Q1681	0	CT	0	
Q1686	26	Q1686	0	CT	0	
Q1231	26	Q1231	0	EV	0	
Q1236	26	Q1236	0	EV	0	
Q1241	26	Q1241	0	EV	0	
Q1246	26	Q1246	0	EV	0	
Q1251	26	Q1251	0	EV	0	
Q1256	26	Q1256	0	EV	0	
Q1261	26	Q1261	0	EV	0	
Q1266	26	Q1266	0	EV	0	
Q1691	26	Q1691	0	EV	0	
Q1696	26	Q1696	0	EV	0	
