id	query
Q1216	After the road was blocked, at request 6, how do traffic and burden affect assigned vs closest timing?
Q1221	Given the crash, how do traffic and route burden shape assigned vs closest timing at request 7?
Q1226	Once travel times stabilized, how do traffic and route burden affect assigned vs closest timing at request 8?
Q1671	At request 9, how much later is the assigned vehicle's ETA than the closest's after the accident?
Q1676	How much longer will the assigned vehicle take vs the closest at request 10 after the crash?
Q1151	At request 1, how do traffic and route burden affect the assigned vs closest vehicle's timing?
Q1156	How do traffic and route load shape timing differences between assigned and closest vehicles at request 2?
Q1161	At request 3, how does traffic and route burden influence assigned and closest vehicle timing?
Q1166	How do current traffic and route load affect assigned vs closest timing at request 4?
Q1171	At request 5, how do traffic and route burden shape assigned and closest service timing?
Q1176	At request 6, how do traffic and burden from pending routes affect timing between assigned and closest?
Q1181	How do traffic and route load affect timing at request 7 for assigned and closest vans?
Q1186	At request 8, how do traffic and route burden shift timing between the assigned and closest?
Q1681	At request 9, how much later will the assigned arrive than the closest?
Q1686	At request 10, how big is the ETA gap between assigned and closest vehicles?
Q1231	During the event at request 4, how do traffic and route burden affect assigned vs closest timing?
Q1236	With event congestion, how do traffic and route burden impact assigned vs closest timing at request 5?
Q1241	During the concert, how do traffic and route load affect assigned vs closest timing at request 6?
Q1246	At request 4 with the event, how do traffic and burden shape assigned vs closest timing?
Q1251	Given event-induced delays, at request 5, how do traffic and route burden affect assigned vs closest timing?
Q1256	During the stadium event, how do traffic and route load affect assigned vs closest timing at request 6?
Q1261	With the event at request 7, how do traffic and route burden affect assigned vs closest timing?
Q1266	Given concert traffic, how do traffic and burden shape assigned vs closest timing at request 8?
Q1691	With the event, how much later is the assigned ETA vs the closest at request 9?
Q1696	At request 10 during the event, how much does the assigned lag behind the closest?
