id	query
Q0941_p1	Can you explain this dispatch decision: Why did the dispatcher choose a farther van over a closer one at request 7?
Q0941_p2	In operational terms, why did the dispatcher choose a farther van over a closer one at request 7?
Q0941_p3	What is the reason behind this: Why did the dispatcher choose a farther van over a closer one at request 7?
Q0941_p4	Could you clarify the dispatch rationale here: Why did the dispatcher choose a farther van over a closer one at request 7?
Q0956	At request 8, why was the farther vehicle selected?
Q0956_p1	Can you explain this dispatch decision: At request 8, why was the farther vehicle selected?
Q0956_p2	In operational terms, at request 8, why was the farther vehicle selected?
Q0956_p3	What is the reason behind this: At request 8, why was the farther vehicle selected?
Q0956_p4	Could you clarify the dispatch rationale here: At request 8, why was the farther vehicle selected?
Q0961	Why did the system go with a farther van for request 9?
Q0961_p1	Can you explain this dispatch decision: Why did the system go with a farther van for request 9?
Q0961_p2	In operational terms, why did the system go with a farther van for request 9?
Q0961_p3	What is the reason behind this: Why did the system go with a farther van for request 9?
Q0961_p4	Could you clarify the dispatch rationale here: Why did the system go with a farther van for request 9?
Q1401	At request 10, why wasn't the closest vehicle assigned?
Q1401_p1	Can you explain this dispatch decision: At request 10, why wasn't the closest vehicle assigned?
Q1401_p2	In operational terms, at request 10, why wasn't the closest vehicle assigned?
Q1401_p3	What is the reason behind this: At request 10, why wasn't the closest vehicle assigned?
Q1401_p4	Could you clarify the dispatch rationale here: At request 10, why wasn't the closest vehicle assigned?
Q0101	During the event, why was Vehicle 3 chosen over Vehicle 1 for request 4?
Q0101_p1	Can you explain this dispatch decision: During the event, why was Vehicle 3 chosen over Vehicle 1 for request 4?
Q0101_p2	In operational terms, during the event, why was Vehicle 3 chosen over Vehicle 1 for request 4?
Q0101_p3	What is the reason behind this: During the event, why was Vehicle 3 chosen over Vehicle 1 for request 4?
Q0101_p4	Could you clarify the dispatch rationale here: During the event, why was Vehicle 3 chosen over Vehicle 1 for request 4?
Q0111	During the stadium event, why was V2 assigned request 5 and not V0?
Q0111_p1	Can you explain this dispatch decision: During the stadium event, why was V2 assigned request 5 and not V0?
Q0111_p2	In operational terms, during the stadium event, why was V2 assigned request 5 and not V0?
Q0111_p3	What is the reason behind this: During the stadium event, why was V2 assigned request 5 and not V0?
Q0111_p4	Could you clarify the dispatch rationale here: During the stadium event, why was V2 assigned request 5 and not V0?
Q0766	Why didn't the closest vehicle get request 6 at epoch 6 with the concert on?
Q0766_p1	Can you explain this dispatch decision: Why didn't the closest vehicle get request 6 at epoch 6 with the concert on?
Q0766_p2	In operational terms, why didn't the closest vehicle get request 6 at epoch 6 with the concert on?
Q0766_p3	What is the reason behind this: Why didn't the closest vehicle get request 6 at epoch 6 with the concert on?
Q0766_p4	Could you clarify the dispatch rationale here: Why didn't the closest vehicle get request 6 at epoch 6 with the concert on?
Q0786	Why wasn't the closest vehicle chosen for request 4 at epoch 4 during the event?
Q0786_p1	Can you explain this dispatch decision: Why wasn't the closest vehicle chosen for request 4 at epoch 4 during the event?
Q0786_p2	In operational terms, why wasn't the closest vehicle chosen for request 4 at epoch 4 during the event?
Q0786_p3	What is the reason behind this: Why wasn't the closest vehicle chosen for request 4 at epoch 4 during the event?
Q0786_p4	Could you clarify the dispatch rationale here: Why wasn't the closest vehicle chosen for request 4 at epoch 4 during the event?
Q0896	With event congestion, how does V2 compare to V0 at request 5?
Q0896_p1	Can you explain this dispatch decision: With event congestion, how does V2 compare to V0 at request 5?
Q0896_p2	In operational terms, with event congestion, how does V2 compare to V0 at request 5?
Q0896_p3	What is the reason behind this: With event congestion, how does V2 compare to V0 at request 5?
Q0896_p4	Could you clarify the dispatch rationale here: With event congestion, how does V2 compare to V0 at request 5?
Q0911	Given the stadium event, how does V0 stack up against V3 at request 6?
Q0911_p1	Can you explain this dispatch decision: Given the stadium event, how does V0 stack up against V3 at request 6?
Q0911_p2	In operational terms, given the stadium event, how does V0 stack up against V3 at request 6?
Q0911_p3	What is the reason behind this: Given the stadium event, how does V0 stack up against V3 at request 6?
Q0911_p4	Could you clarify the dispatch rationale here: Given the stadium event, how does V0 stack up against V3 at request 6?
Q0916	At request 7 with the event, compare Vehicle 0 and Vehicle 1 on risk.
Q0916_p1	Can you explain this dispatch decision: At request 7 with the event, compare Vehicle 0 and Vehicle 1 on risk.
Q0916_p2	In operational terms, at request 7 with the event, compare Vehicle 0 and Vehicle 1 on risk.
Q0916_p3	What is the reason behind this: At request 7 with the event, compare Vehicle 0 and Vehicle 1 on risk.
Q0916_p4	Could you clarify the dispatch rationale here: At request 7 with the event, compare Vehicle 0 and Vehicle 1 on risk.
Q0921	During the event, what's the risk comparison between V1 and V0 for request 8?
Q0921_p1	Can you explain this dispatch decision: During the event, what's the risk comparison between V1 and V0 for request 8?
Q0921_p2	In operational terms, during the event, what's the risk comparison between V1 and V0 for request 8?
Q0921_p3	What is the reason behind this: During the event, what's the risk comparison between V1 and V0 for request 8?
Q0921_p4	Could you clarify the dispatch rationale here: During the event, what's the risk comparison between V1 and V0 for request 8?
Q0926	Given the event delays, how do V1 and V0 compare on delay at request 9?
Q0926_p1	Can you explain this dispatch decision: Given the event delays, how do V1 and V0 compare on delay at request 9?
Q0926_p2	In operational terms, given the event delays, how do V1 and V0 compare on delay at request 9?
Q0926_p3	What is the reason behind this: Given the event delays, how do V1 and V0 compare on delay at request 9?
Q0926_p4	Could you clarify the dispatch rationale here: Given the event delays, how do V1 and V0 compare on delay at request 9?
Q1041	During event-induced delays, why was a farther vehicle picked for request 10?
Q1041_p1	Can you explain this dispatch decision: During event-induced delays, why was a farther vehicle picked for request 10?
Q1041_p2	In operational terms, during event-induced delays, why was a farther vehicle picked for request 10?
Q1041_p3	What is the reason behind this: During event-induced delays, why was a farther vehicle picked for request 10?
Q1041_p4	Could you clarify the dispatch rationale here: During event-induced delays, why was a farther vehicle picked for request 10?
Q0201	After the accident at epoch 4, which vehicle is most reliable?
Q0201_p1	Can you explain this dispatch decision: After the accident at epoch 4, which vehicle is most reliable?
Q0201_p2	In operational terms, after the accident at epoch 4, which vehicle is most reliable?
Q0201_p3	What is the reason behind this: After the accident at epoch 4, which vehicle is most reliable?
Q0201_p4	Could you clarify the dispatch rationale here: After the accident at epoch 4, which vehicle is most reliable?
Q0206	At epoch 5, once the accident hit, which vehicle is most reliable?
Q0206_p1	Can you explain this dispatch decision: At epoch 5, once the accident hit, which vehicle is most reliable?
Q0206_p2	In operational terms, at epoch 5, once the accident hit, which vehicle is most reliable?
Q0206_p3	What is the reason behind this: At epoch 5, once the accident hit, which vehicle is most reliable?
Q0206_p4	Could you clarify the dispatch rationale here: At epoch 5, once the accident hit, which vehicle is most reliable?
Q0211	Which vehicle is most reliable at epoch 6 given the accident?
Q0211_p1	Can you explain this dispatch decision: Which vehicle is most reliable at epoch 6 given the accident?
Q0211_p2	In operational terms, which vehicle is most reliable at epoch 6 given the accident?
Q0211_p3	What is the reason behind this: Which vehicle is most reliable at epoch 6 given the accident?
Q0211_p4	Could you clarify the dispatch rationale here: Which vehicle is most reliable at epoch 6 given the accident?
Q0216	After the road blockage at epoch 4, which vehicle is most reliable?
Q0216_p1	Can you explain this dispatch decision: After the road blockage at epoch 4, which vehicle is most reliable?
Q0216_p2	In operational terms, after the road blockage at epoch 4, which vehicle is most reliable?
Q0216_p3	What is the reason behind this: After the road blockage at epoch 4, which vehicle is most reliable?
Q0216_p4	Could you clarify the dispatch rationale here: After the road blockage at epoch 4, which vehicle is most reliable?
Q0221	At epoch 5 after the crash, which van offers the most reliable service?
Q0221_p1	Can you explain this dispatch decision: At epoch 5 after the crash, which van offers the most reliable service?
Q0221_p2	In operational terms, at epoch 5 after the crash, which van offers the most reliable service?
Q0221_p3	What is the reason behind this: At epoch 5 after the crash, which van offers the most reliable service?
Q0221_p4	Could you clarify the dispatch rationale here: At epoch 5 after the crash, which van offers the most reliable service?
Q0226	With the travel times spiked by the accident, which vehicle is most reliable at epoch 6?
Q0226_p1	Can you explain this dispatch decision: With the travel times spiked by the accident, which vehicle is most reliable at epoch 6?
Q0226_p2	In operational terms, with the travel times spiked by the accident, which vehicle is most reliable at epoch 6?
Q0226_p3	What is the reason behind this: With the travel times spiked by the accident, which vehicle is most reliable at epoch 6?
Q0226_p4	Could you clarify the dispatch rationale here: With the travel times spiked by the accident, which vehicle is most reliable at epoch 6?
Q0231	At epoch 7 post-accident, which vehicle is the most reliable?
Q0231_p1	Can you explain this dispatch decision: At epoch 7 post-accident, which vehicle is the most reliable?
Q0231_p2	In operational terms, at epoch 7 post-accident, which vehicle is the most reliable?
Q0231_p3	What is the reason behind this: At epoch 7 post-accident, which vehicle is the most reliable?
Q0231_p4	Could you clarify the dispatch rationale here: At epoch 7 post-accident, which vehicle is the most reliable?
Q0236	After the accident, which vehicle offers the most dependable service at epoch 8?
Q0236_p1	Can you explain this dispatch decision: After the accident, which vehicle offers the most dependable service at epoch 8?
Q0236_p2	In operational terms, after the accident, which vehicle offers the most dependable service at epoch 8?
Q0236_p3	What is the reason behind this: After the accident, which vehicle offers the most dependable service at epoch 8?
Q0236_p4	Could you clarify the dispatch rationale here: After the accident, which vehicle offers the most dependable service at epoch 8?
Q0241	Which vehicle is most reliable at epoch 9 once travel times stabilized after the crash?
Q0241_p1	Can you explain this dispatch decision: Which vehicle is most reliable at epoch 9 once travel times stabilized after the crash?
Q0241_p2	In operational terms, which vehicle is most reliable at epoch 9 once travel times stabilized after the crash?
Q0241_p3	What is the reason behind this: Which vehicle is most reliable at epoch 9 once travel times stabilized after the crash?
Q0241_p4	Could you clarify the dispatch rationale here: Which vehicle is most reliable at epoch 9 once travel times stabilized after the crash?
Q0246	At epoch 10 after the road closure, which vehicle is most reliable?
Q0246_p1	Can you explain this dispatch decision: At epoch 10 after the road closure, which vehicle is most reliable?
Q0246_p2	In operational terms, at epoch 10 after the road closure, which vehicle is most reliable?
Q0246_p3	What is the reason behind this: At epoch 10 after the road closure, which vehicle is most reliable?
Q0246_p4	Could you clarify the dispatch rationale here: At epoch 10 after the road closure, which vehicle is most reliable?
Q0151	At epoch 1, which vehicle is most reliable?
Q0151_p1	Can you explain this dispatch decision: At epoch 1, which vehicle is most reliable?
Q0151_p2	In operational terms, at epoch 1, which vehicle is most reliable?
Q0151_p3	What is the reason behind this: At epoch 1, which vehicle is most reliable?
Q0151_p4	Could you clarify the dispatch rationale here: At epoch 1, which vehicle is most reliable?
Q0156	At epoch 2, which vehicle offers the most dependable service?
Q0156_p1	Can you explain this dispatch decision: At epoch 2, which vehicle offers the most dependable service?
Q0156_p2	In operational terms, at epoch 2, which vehicle offers the most dependable service?
Q0156_p3	What is the reason behind this: At epoch 2, which vehicle offers the most dependable service?
Q0156_p4	Could you clarify the dispatch rationale here: At epoch 2, which vehicle offers the most dependable service?
Q0161	Which vehicle has the best reliability at epoch 3?
Q0161_p1	Can you explain this dispatch decision: Which vehicle has the best reliability at epoch 3?
Q0161_p2	In operational terms, which vehicle has the best reliability at epoch 3?
Q0161_p3	What is the reason behind this: Which vehicle has the best reliability at epoch 3?
Q0161_p4	Could you clarify the dispatch rationale here: Which vehicle has the best reliability at epoch 3?
Q0166	At epoch 4, which vehicle is performing most reliably?
Q0166_p1	Can you explain this dispatch decision: At epoch 4, which vehicle is performing most reliably?
Q0166_p2	In operational terms, at epoch 4, which vehicle is performing most reliably?
Q0166_p3	What is the reason behind this: At epoch 4, which vehicle is performing most reliably?
Q0166_p4	Could you clarify the dispatch rationale here: At epoch 4, which vehicle is performing most reliably?
Q0171	Under this traffic, which vehicle is most reliable at epoch 5?
Q0171_p1	Can you explain this dispatch decision: Under this traffic, which vehicle is most reliable at epoch 5?
Q0171_p2	In operational terms, under this traffic, which vehicle is most reliable at epoch 5?
Q0171_p3	What is the reason behind this: Under this traffic, which vehicle is most reliable at epoch 5?
Q0171_p4	Could you clarify the dispatch rationale here: Under this traffic, which vehicle is most reliable at epoch 5?
Q0176	At epoch 6, which vehicle has the best service reliability?
Q0176_p1	Can you explain this dispatch decision: At epoch 6, which vehicle has the best service reliability?
Q0176_p2	In operational terms, at epoch 6, which vehicle has the best service reliability?
Q0176_p3	What is the reason behind this: At epoch 6, which vehicle has the best service reliability?
Q0176_p4	Could you clarify the dispatch rationale here: At epoch 6, which vehicle has the best service reliability?
Q0181	Which vehicle is most dependable at epoch 7?
Q0181_p1	Can you explain this dispatch decision: Which vehicle is most dependable at epoch 7?
Q0181_p2	In operational terms, which vehicle is most dependable at epoch 7?
Q0181_p3	What is the reason behind this: Which vehicle is most dependable at epoch 7?
Q0181_p4	Could you clarify the dispatch rationale here: Which vehicle is most dependable at epoch 7?
Q0186	At epoch 8, which vehicle's service is most reliable?
Q0186_p1	Can you explain this dispatch decision: At epoch 8, which vehicle's service is most reliable?
Q0186_p2	In operational terms, at epoch 8, which vehicle's service is most reliable?
Q0186_p3	What is the reason behind this: At epoch 8, which vehicle's service is most reliable?
Q0186_p4	Could you clarify the dispatch rationale here: At epoch 8, which vehicle's service is most reliable?
Q0191	At epoch 9, which vehicle is the most reliable option?
Q0191_p1	Can you explain this dispatch decision: At epoch 9, which vehicle is the most reliable option?
Q0191_p2	In operational terms, at epoch 9, which vehicle is the most reliable option?
Q0191_p3	What is the reason behind this: At epoch 9, which vehicle is the most reliable option?
Q0191_p4	Could you clarify the dispatch rationale here: At epoch 9, which vehicle is the most reliable option?
Q0196	Under these traffic conditions at epoch 10, which vehicle is most reliable?
Q0196_p1	Can you explain this dispatch decision: Under these traffic conditions at epoch 10, which vehicle is most reliable?
Q0196_p2	In operational terms, under these traffic conditions at epoch 10, which vehicle is most reliable?
Q0196_p3	What is the reason behind this: Under these traffic conditions at epoch 10, which vehicle is most reliable?
Q0196_p4	Could you clarify the dispatch rationale here: Under these traffic conditions at epoch 10, which vehicle is most reliable?
Q0251	During the event at epoch 4, which vehicle is most reliable?
Q0251_p1	Can you explain this dispatch decision: During the event at epoch 4, which vehicle is most reliable?
Q0251_p2	In operational terms, during the event at epoch 4, which vehicle is most reliable?
Q0251_p3	What is the reason behind this: During the event at epoch 4, which vehicle is most reliable?
Q0251_p4	Could you clarify the dispatch rationale here: During the event at epoch 4, which vehicle is most reliable?
Q0256	Once the concert started at epoch 5, which vehicle offers the most reliable service?
Q0256_p1	Can you explain this dispatch decision: Once the concert started at epoch 5, which vehicle offers the most reliable service?
Q0256_p2	In operational terms, once the concert started at epoch 5, which vehicle offers the most reliable service?
Q0256_p3	What is the reason behind this: Once the concert started at epoch 5, which vehicle offers the most reliable service?
Q0256_p4	Could you clarify the dispatch rationale here: Once the concert started at epoch 5, which vehicle offers the most reliable service?
Q0261	During the stadium event at epoch 6, which vehicle is most reliable?
Q0261_p1	Can you explain this dispatch decision: During the stadium event at epoch 6, which vehicle is most reliable?
Q0261_p2	In operational terms, during the stadium event at epoch 6, which vehicle is most reliable?
Q0261_p3	What is the reason behind this: During the stadium event at epoch 6, which vehicle is most reliable?
Q0261_p4	Could you clarify the dispatch rationale here: During the stadium event at epoch 6, which vehicle is most reliable?
Q0266	At epoch 4 during the event, which vehicle is most reliable?
Q0266_p1	Can you explain this dispatch decision: At epoch 4 during the event, which vehicle is most reliable?
Q0266_p2	In operational terms, at epoch 4 during the event, which vehicle is most reliable?
Q0266_p3	What is the reason behind this: At epoch 4 during the event, which vehicle is most reliable?
Q0266_p4	Could you clarify the dispatch rationale here: At epoch 4 during the event, which vehicle is most reliable?
Q0271	With event congestion at epoch 5, which vehicle is most reliable?
Q0271_p1	Can you explain this dispatch decision: With event congestion at epoch 5, which vehicle is most reliable?
Q0271_p2	In operational terms, with event congestion at epoch 5, which vehicle is most reliable?
Q0271_p3	What is the reason behind this: With event congestion at epoch 5, which vehicle is most reliable?
Q0271_p4	Could you clarify the dispatch rationale here: With event congestion at epoch 5, which vehicle is most reliable?
Q0276	At epoch 6 during the event, which van offers the most dependable service?
Q0276_p1	Can you explain this dispatch decision: At epoch 6 during the event, which van offers the most dependable service?
Q0276_p2	In operational terms, at epoch 6 during the event, which van offers the most dependable service?
Q0276_p3	What is the reason behind this: At epoch 6 during the event, which van offers the most dependable service?
Q0276_p4	Could you clarify the dispatch rationale here: At epoch 6 during the event, which van offers the most dependable service?
Q0281	Which vehicle is most reliable at epoch 7 while the event is ongoing?
Q0281_p1	Can you explain this dispatch decision: Which vehicle is most reliable at epoch 7 while the event is ongoing?
Q0281_p2	In operational terms, which vehicle is most reliable at epoch 7 while the event is ongoing?
Q0281_p3	What is the reason behind this: Which vehicle is most reliable at epoch 7 while the event is ongoing?
Q0281_p4	Could you clarify the dispatch rationale here: Which vehicle is most reliable at epoch 7 while the event is ongoing?
Q0286	During the game traffic at epoch 8, which vehicle is most reliable?
Q0286_p1	Can you explain this dispatch decision: During the game traffic at epoch 8, which vehicle is most reliable?
Q0286_p2	In operational terms, during the game traffic at epoch 8, which vehicle is most reliable?
Q0286_p3	What is the reason behind this: During the game traffic at epoch 8, which vehicle is most reliable?
Q0286_p4	Could you clarify the dispatch rationale here: During the game traffic at epoch 8, which vehicle is most reliable?
Q0291	With the event happening at epoch 9, which vehicle offers the best reliability?
Q0291_p1	Can you explain this dispatch decision: With the event happening at epoch 9, which vehicle offers the best reliability?
Q0291_p2	In operational terms, with the event happening at epoch 9, which vehicle offers the best reliability?
Q0291_p3	What is the reason behind this: With the event happening at epoch 9, which vehicle offers the best reliability?
Q0291_p4	Could you clarify the dispatch rationale here: With the event happening at epoch 9, which vehicle offers the best reliability?
Q0296	At epoch 10 once the event peaked, which vehicle is most reliable?
Q0296_p1	Can you explain this dispatch decision: At epoch 10 once the event peaked, which vehicle is most reliable?
Q0296_p2	In operational terms, at epoch 10 once the event peaked, which vehicle is most reliable?
Q0296_p3	What is the reason behind this: At epoch 10 once the event peaked, which vehicle is most reliable?
Q0296_p4	Could you clarify the dispatch rationale here: At epoch 10 once the event peaked, which vehicle is most reliable?
Q0341	After the accident, why was carpooling started for request 4 at epoch 4?
Q0341_p1	Can you explain this dispatch decision: After the accident, why was carpooling started for request 4 at epoch 4?
Q0341_p2	In operational terms, after the accident, why was carpooling started for request 4 at epoch 4?
Q0341_p3	What is the reason behind this: After the accident, why was carpooling started for request 4 at epoch 4?
Q0341_p4	Could you clarify the dispatch rationale here: After the accident, why was carpooling started for request 4 at epoch 4?
Q0346	Why did the system avoid carpooling request 5 at epoch 5 after the accident?
Q0346_p1	Can you explain this dispatch decision: Why did the system avoid carpooling request 5 at epoch 5 after the accident?
Q0346_p2	In operational terms, why did the system avoid carpooling request 5 at epoch 5 after the accident?
Q0346_p3	What is the reason behind this: Why did the system avoid carpooling request 5 at epoch 5 after the accident?
Q0346_p4	Could you clarify the dispatch rationale here: Why did the system avoid carpooling request 5 at epoch 5 after the accident?
Q0351	At epoch 6, once the road was blocked, why was request 6 put into a carpool?
Q0351_p1	Can you explain this dispatch decision: At epoch 6, once the road was blocked, why was request 6 put into a carpool?
Q0351_p2	In operational terms, at epoch 6, once the road was blocked, why was request 6 put into a carpool?
Q0351_p3	What is the reason behind this: At epoch 6, once the road was blocked, why was request 6 put into a carpool?
Q0351_p4	Could you clarify the dispatch rationale here: At epoch 6, once the road was blocked, why was request 6 put into a carpool?
Q0356	Why avoid carpooling request 4 at epoch 4 after the accident?
Q0356_p1	Can you explain this dispatch decision: Why avoid carpooling request 4 at epoch 4 after the accident?
Q0356_p2	In operational terms, why avoid carpooling request 4 at epoch 4 after the accident?
Q0356_p3	What is the reason behind this: Why avoid carpooling request 4 at epoch 4 after the accident?
Q0356_p4	Could you clarify the dispatch rationale here: Why avoid carpooling request 4 at epoch 4 after the accident?
Q0361	Why was request 5 carpooled at epoch 5 once travel times spiked?
Q0361_p1	Can you explain this dispatch decision: Why was request 5 carpooled at epoch 5 once travel times spiked?
Q0361_p2	In operational terms, why was request 5 carpooled at epoch 5 once travel times spiked?
Q0361_p3	What is the reason behind this: Why was request 5 carpooled at epoch 5 once travel times spiked?
Q0361_p4	Could you clarify the dispatch rationale here: Why was request 5 carpooled at epoch 5 once travel times spiked?
Q0366	After the crash, why did the dispatcher avoid pooling request 6 at epoch 6?
Q0366_p1	Can you explain this dispatch decision: After the crash, why did the dispatcher avoid pooling request 6 at epoch 6?
Q0366_p2	In operational terms, after the crash, why did the dispatcher avoid pooling request 6 at epoch 6?
Q0366_p3	What is the reason behind this: After the crash, why did the dispatcher avoid pooling request 6 at epoch 6?
Q0366_p4	Could you clarify the dispatch rationale here: After the crash, why did the dispatcher avoid pooling request 6 at epoch 6?
Q0371	At epoch 7 after the accident, why was request 7 added to a carpool?
Q0371_p1	Can you explain this dispatch decision: At epoch 7 after the accident, why was request 7 added to a carpool?
Q0371_p2	In operational terms, at epoch 7 after the accident, why was request 7 added to a carpool?
